config_dir,config_name,n_eval,missing,false_unsteady,false_unsteady_frac,mae_valid_only,median_valid_only,mae_penalized,median_penalized
cpssd-new-results/classification_43,classification_43,407,0,4,0.009828009828009828,382.90818858560795,243.0,477.4250614250614,252.0
cpssd-new-results/classification_50,classification_50,407,0,4,0.009828009828009828,391.4516129032258,253.0,485.8845208845209,255.0
cpssd-new-results/classification_52,classification_52,407,0,5,0.012285012285012284,411.4228855721393,259.0,529.2186732186732,265.0
cpssd-new-results/classification_36,classification_36,407,0,6,0.014742014742014743,370.58354114713217,240.0,512.5405405405405,243.0
cpssd-new-results/classification_29,classification_29,407,0,7,0.0171990171990172,357.835,230.0,523.6707616707616,240.0
cpssd-new-results/classification_45,classification_45,407,0,7,0.0171990171990172,387.385,242.5,552.7125307125307,254.0
cpssd-new-results/classification_22,classification_22,407,0,8,0.019656019656019656,349.6842105263158,214.0,539.3710073710074,220.0
cpssd-new-results/classification_38,classification_38,407,0,9,0.022113022113022112,381.15829145728645,240.5,593.8599508599509,253.0
cpssd-new-results/classification_15,classification_15,407,0,10,0.02457002457002457,336.53652392947106,209.0,573.9680589680589,219.0
cpssd-new-results/classification_31,classification_31,407,0,11,0.02702702702702703,363.8661616161616,229.0,624.3022113022113,242.0
cpssd-new-results/classification_47,classification_47,407,0,11,0.02702702702702703,437.08838383838383,273.5,695.5454545454545,280.0
cpssd-new-results/classification_51,classification_51,407,0,11,0.02702702702702703,441.0378787878788,277.0,699.3882063882064,284.0
cpssd-new-results/classification_54,classification_54,407,0,11,0.02702702702702703,452.4646464646465,280.5,710.5061425061425,285.0
cpssd-new-results/classification_24,classification_24,407,0,12,0.029484029484029485,359.56455696202534,214.0,643.8034398034398,228.0
cpssd-new-results/classification_8,classification_8,407,0,13,0.03194103194103194,343.33756345177665,208.0,651.7813267813268,219.0
cpssd-new-results/classification_40,classification_40,407,0,13,0.03194103194103194,432.2817258883249,273.5,737.8845208845208,281.0
cpssd-new-results/classification_44,classification_44,407,0,13,0.03194103194103194,434.5761421319797,277.0,740.1056511056511,285.0
cpssd-new-results/classification_49,classification_49,407,0,13,0.03194103194103194,443.9010152284264,281.0,749.1326781326782,287.0
cpssd-new-results/classification_1,classification_1,407,0,14,0.0343980343980344,335.95674300254456,191.0,668.3808353808354,205.0
cpssd-new-results/classification_46,classification_46,407,0,14,0.0343980343980344,419.29262086513995,273.0,748.8501228501228,281.0
cpssd-new-results/classification_53,classification_53,407,0,14,0.0343980343980344,425.0127226463104,274.0,754.3734643734643,282.0
cpssd-new-results/classification_48,classification_48,407,0,14,0.0343980343980344,425.3206106870229,270.0,754.6707616707616,274.0
cpssd-new-results/classification_55,classification_55,407,0,14,0.0343980343980344,436.0687022900763,274.0,765.0491400491401,281.0
cpssd-new-results/classification_17,classification_17,407,0,15,0.036855036855036855,342.4438775510204,191.5,698.3734643734643,214.0
cpssd-new-results/classification_33,classification_33,407,0,15,0.036855036855036855,421.17602040816325,273.0,774.2039312039312,280.0
cpssd-new-results/classification_10,classification_10,407,0,16,0.03931203931203931,346.9181585677749,201.0,726.4004914004914,219.0
cpssd-new-results/classification_42,classification_42,407,0,16,0.03931203931203931,423.89769820971867,274.0,800.3538083538084,281.0
cpssd-new-results/classification_37,classification_37,407,0,16,0.03931203931203931,423.9360613810742,274.0,800.3906633906633,281.0
cpssd-new-results/classification_39,classification_39,407,0,17,0.04176904176904177,416.5025641025641,271.5,816.7960687960688,280.0
cpssd-new-results/classification_41,classification_41,407,0,17,0.04176904176904177,416.55641025641023,267.5,816.8476658476659,274.0
cpssd-new-results/classification_26,classification_26,407,0,17,0.04176904176904177,418.3538461538462,265.5,818.5700245700245,274.0
cpssd-new-results/classification_30,classification_30,407,0,18,0.044226044226044224,414.2879177377892,274.0,838.2260442260442,284.0
cpssd-new-results/classification_34,classification_34,407,0,19,0.04668304668304668,410.5644329896907,270.5,858.2285012285013,280.0
cpssd-new-results/classification_35,classification_35,407,0,19,0.04668304668304668,415.7860824742268,273.0,863.2063882063882,281.0
cpssd-new-results/classification_3,classification_3,407,0,21,0.051597051597051594,353.2538860103627,191.0,850.997542997543,214.0
cpssd-new-results/classification_32,classification_32,407,0,21,0.051597051597051594,402.1243523316062,271.5,897.3464373464374,281.0
cpssd-new-results/classification_19,classification_19,407,0,21,0.051597051597051594,402.2746113989637,258.5,897.4889434889435,274.0
cpssd-new-results/classification_27,classification_27,407,0,21,0.051597051597051594,408.0958549222798,257.0,903.009828009828,274.0
cpssd-new-results/classification_28,classification_28,407,0,22,0.05405405405405406,405.961038961039,271.0,924.5577395577395,281.0
cpssd-new-results/classification_25,classification_25,407,0,24,0.05896805896805897,400.5378590078329,259.0,966.5995085995086,274.0
cpssd-new-results/classification_23,classification_23,407,0,25,0.06142506142506143,419.19633507853405,270.5,1007.6977886977887,281.0
cpssd-new-results/classification_21,classification_21,407,0,26,0.06388206388206388,421.0,267.0,1032.9262899262899,281.0
cpssd-new-results/classification_20,classification_20,407,0,27,0.06633906633906633,416.1578947368421,267.5,1051.941031941032,285.0
cpssd-new-results/classification_16,classification_16,407,0,28,0.0687960687960688,415.2084432717678,270.0,1074.6044226044226,285.0
cpssd-new-results/classification_12,classification_12,407,0,29,0.07125307125307126,439.86507936507934,259.0,1121.054054054054,285.0
cpssd-new-results/classification_18,classification_18,407,0,30,0.07371007371007371,383.20159151193633,254.0,1092.056511056511,274.0
cpssd-new-results/classification_14,classification_14,407,0,33,0.08108108108108109,405.7005347593583,256.5,1183.6167076167076,281.0
cpssd-new-results/classification_11,classification_11,407,0,36,0.08845208845208845,392.97304582210245,248.0,1242.7346437346437,274.0
cpssd-new-results/classification_9,classification_9,407,0,36,0.08845208845208845,455.0943396226415,274.0,1299.3611793611794,312.0
cpssd-new-results/classification_13,classification_13,407,0,38,0.09336609336609336,443.2764227642276,259.0,1335.5503685503686,294.0
cpssd-new-results/classification_5,classification_5,407,0,38,0.09336609336609336,477.70460704607046,266.0,1366.7641277641278,312.0
cpssd-new-results/classification_7,classification_7,407,0,40,0.09828009828009827,456.4223433242507,273.0,1394.3660933660933,312.0
cpssd-new-results/classification_4,classification_4,407,0,46,0.11302211302211303,462.9224376731302,265.0,1540.8230958230959,312.0
cpssd-new-results/classification_6,classification_6,407,0,49,0.12039312039312039,487.768156424581,267.0,1632.97542997543,328.0
cpssd-new-results/classification_2,classification_2,407,0,49,0.12039312039312039,510.3826815642458,277.0,1652.8673218673218,349.0
cpssd-new-results/classification_0,classification_0,407,0,54,0.13267813267813267,477.89801699716713,274.0,1741.2727272727273,349.0
