key,fork_name,fork_idx,jagt_idx,cp_best_idx,cp_orig_idx,kb_idx,cp_best_steady,cp_best_false_unsteady,cp_best_abs_err,cp_best_signed_err,cp_orig_steady,cp_orig_false_unsteady,cp_orig_abs_err,cp_orig_signed_err,kb_steady,kb_false_unsteady,kb_abs_err,kb_signed_err
RoaringBitmap__RoaringBitmap#org.roaringbitmap.aggregation.andnot.worstcase.Roaring64BitmapBenchmark.inplace_andNot#.json_0,RoaringBitmap__RoaringBitmap#org.roaringbitmap.aggregation.andnot.worstcase.Roaring64BitmapBenchmark.inplace_andNot#.json,0,907,168,381,96,True,False,739.0,-739.0,True,False,526.0,-526.0,True,False,811.0,-811.0
prestodb__presto#com.facebook.presto.sql.gen.InCodeGeneratorBenchmark.benchmark#inListCount=25&type=double.json_0,prestodb__presto#com.facebook.presto.sql.gen.InCodeGeneratorBenchmark.benchmark#inListCount=25&type=double.json,0,1607,0,0,15,True,False,1607.0,-1607.0,True,False,1607.0,-1607.0,True,False,1592.0,-1592.0
yellowstonegames__SquidLib#squidpony.performance.MathBenchmark.measureMathAtan2#.json_0,yellowstonegames__SquidLib#squidpony.performance.MathBenchmark.measureMathAtan2#.json,0,420,0,1,268,True,False,420.0,-420.0,True,False,419.0,-419.0,True,False,152.0,-152.0
protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields#.json_0,protostuff__protostuff#io.protostuff.benchmarks.RuntimeSchemaBenchmark.runtime_sparse_serialize_10_int_fields#.json,0,440,0,128,15,True,False,440.0,-440.0,True,False,312.0,-312.0,True,False,425.0,-425.0
eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersEncodeBenchmark.vertxSmall#.json_0,eclipse-vertx__vert.x#io.vertx.benchmarks.HeadersEncodeBenchmark.vertxSmall#.json,0,7,0,1,15,True,False,7.0,-7.0,True,False,6.0,-6.0,True,False,8.0,8.0
h2oai__h2o-3#water.ChunkBench.colsRowsRead#cols=10000&rows=100000.json_0,h2oai__h2o-3#water.ChunkBench.colsRowsRead#cols=10000&rows=100000.json,0,274,0,0,0,True,False,274.0,-274.0,True,False,274.0,-274.0,True,False,274.0,-274.0
RoaringBitmap__RoaringBitmap#org.roaringbitmap.iteration.BatchIteratorBenchmark.iterate#bufferSize=128&dirtiness=0.5&keys=512&runniness=0.1.json_0,RoaringBitmap__RoaringBitmap#org.roaringbitmap.iteration.BatchIteratorBenchmark.iterate#bufferSize=128&dirtiness=0.5&keys=512&runniness=0.1.json,0,126,199,109,107,True,False,73.0,73.0,True,False,17.0,-17.0,True,False,19.0,-19.0
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=ZSTD&maxBatchSize=200&messageSize=1000&messageVersion=2.json_0,apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=CREATE&bytes=RANDOM&compressionType=ZSTD&maxBatchSize=200&messageSize=1000&messageVersion=2.json,0,267,256,2356,22,True,False,11.0,-11.0,True,False,2089.0,2089.0,True,False,245.0,-245.0
apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne#.json_0,apache__arrow#org.apache.arrow.vector.BitVectorHelperBenchmarks.loadValidityBufferAllOne#.json,0,143,131,1787,15,True,False,12.0,-12.0,True,False,1644.0,1644.0,True,False,128.0,-128.0
netty__netty#io.netty.handler.codec.mqtt.MqttConnectReturnCodeBench.getViaSwitch#.json_0,netty__netty#io.netty.handler.codec.mqtt.MqttConnectReturnCodeBench.getViaSwitch#.json,0,192,1,1,15,True,False,191.0,-191.0,True,False,191.0,-191.0,True,False,177.0,-177.0
prometheus__client_java#io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmark#.json_0,prometheus__client_java#io.prometheus.benchmark.CounterBenchmark.prometheusCounterIncBenchmark#.json,0,932,41,1072,42,True,False,891.0,-891.0,True,False,140.0,140.0,True,False,890.0,-890.0
prometheus__client_java#io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramChildBenchmark#.json_0,prometheus__client_java#io.prometheus.benchmark.SummaryBenchmark.prometheusSimpleHistogramChildBenchmark#.json,0,214,0,0,15,True,False,214.0,-214.0,True,False,214.0,-214.0,True,False,199.0,-199.0
zalando__logbook#org.zalando.logbook.LogbookBenchmark.json#.json_0,zalando__logbook#org.zalando.logbook.LogbookBenchmark.json#.json,0,137,29,181,15,True,False,108.0,-108.0,True,False,44.0,44.0,True,False,122.0,-122.0
eclipse__rdf4j#org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct#countk=100&limit=-1&syncThreshold=10000.json_0,eclipse__rdf4j#org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct#countk=100&limit=-1&syncThreshold=10000.json,0,1805,0,0,0,True,False,1805.0,-1805.0,True,False,1805.0,-1805.0,True,False,1805.0,-1805.0
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableDedicated#count=1000000.json_0,ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableConcatMapMaybeEmptyPerf.flowableDedicated#count=1000000.json,0,515,0,0,0,True,False,515.0,-515.0,True,False,515.0,-515.0,True,False,515.0,-515.0
prometheus__client_java#io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsDecBenchmark#.json_0,prometheus__client_java#io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeNoLabelsDecBenchmark#.json,0,281,0,0,15,True,False,281.0,-281.0,True,False,281.0,-281.0,True,False,266.0,-266.0
raphw__byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy#.json_0,raphw__byte-buddy#net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy#.json,0,37,0,0,15,True,False,37.0,-37.0,True,False,37.0,-37.0,True,False,22.0,-22.0
h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=Array&array_values_length=10000&keyType=String&n_entries=100000&valueType=Boolean.json_0,h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=Array&array_values_length=10000&keyType=String&n_entries=100000&valueType=Boolean.json,0,326,312,312,44,True,False,14.0,-14.0,True,False,14.0,-14.0,True,False,282.0,-282.0
jdbi__jdbi#org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV2Benchmark.sqlobjectInsertGeneratedKeyValues#.json_0,jdbi__jdbi#org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV2Benchmark.sqlobjectInsertGeneratedKeyValues#.json,0,211,22,22,15,True,False,189.0,-189.0,True,False,189.0,-189.0,True,False,196.0,-196.0
h2oai__h2o-3#water.ChunkBench.rawArrayRead#cols=1000&rows=1000.json_0,h2oai__h2o-3#water.ChunkBench.rawArrayRead#cols=1000&rows=1000.json,0,651,0,0,205,True,False,651.0,-651.0,True,False,651.0,-651.0,True,False,446.0,-446.0
h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=PrimitiveArray&array_values_length=10000&keyType=String&n_entries=1000&valueType=Boolean.json_0,h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=PrimitiveArray&array_values_length=10000&keyType=String&n_entries=1000&valueType=Boolean.json,0,475,72,-1,168,True,False,403.0,-403.0,False,True,,,True,False,307.0,-307.0
imglib__imglib2#net.imglib2.util.FlatCollectionsBenchmark.benchmarkSumList#.json_0,imglib__imglib2#net.imglib2.util.FlatCollectionsBenchmark.benchmarkSumList#.json,0,761,70,1861,55,True,False,691.0,-691.0,True,False,1100.0,1100.0,True,False,706.0,-706.0
eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.wideBufferJackson#.json_0,eclipse-vertx__vert.x#io.vertx.benchmarks.JsonEncodeBenchmark.wideBufferJackson#.json,0,74,4,1,15,True,False,70.0,-70.0,True,False,73.0,-73.0,True,False,59.0,-59.0
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput2Params#.json_0,apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.AsyncLoggersBenchmark.throughput2Params#.json,0,425,316,2375,62,True,False,109.0,-109.0,True,False,1950.0,1950.0,True,False,363.0,-363.0
apache__hive#org.apache.hive.benchmark.vectorization.mapjoin.MapJoinOneLongKeyBench.MapJoinOneLongKeyOuterNativeVectorOptimizedBench.bench#.json_0,apache__hive#org.apache.hive.benchmark.vectorization.mapjoin.MapJoinOneLongKeyBench.MapJoinOneLongKeyOuterNativeVectorOptimizedBench.bench#.json,0,442,0,-1,15,True,False,442.0,-442.0,False,True,,,True,False,427.0,-427.0
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgsBaseline#limit=128000.json_0,JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.tenMixedArgsBaseline#limit=128000.json,0,905,1,-1,411,True,False,904.0,-904.0,False,True,,,True,False,494.0,-494.0
protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=10000.json_0,protostuff__protostuff#io.protostuff.benchmarks.StringSerializerBenchmark.bufferedSerializer#stringLength=10000.json,0,1999,403,1778,115,True,False,1596.0,-1596.0,True,False,221.0,-221.0,True,False,1884.0,-1884.0
prometheus__client_java#io.prometheus.benchmark.CounterBenchmark.prometheusCounterChildIncBenchmark#.json_0,prometheus__client_java#io.prometheus.benchmark.CounterBenchmark.prometheusCounterChildIncBenchmark#.json,0,188,0,1,15,True,False,188.0,-188.0,True,False,187.0,-187.0,True,False,173.0,-173.0
eclipse__jetty.project#org.eclipse.jetty.util.PoolStrategyBenchmark.testAcquireReleasePoolWithStrategy#CACHE=true&POOL_TYPE=Pool.Linear&SIZE=4.json_0,eclipse__jetty.project#org.eclipse.jetty.util.PoolStrategyBenchmark.testAcquireReleasePoolWithStrategy#CACHE=true&POOL_TYPE=Pool.Linear&SIZE=4.json,0,972,969,969,1015,True,False,3.0,-3.0,True,False,3.0,-3.0,True,False,43.0,43.0
jdbi__jdbi#org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.fluentSelectOne#.json_0,jdbi__jdbi#org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV3Benchmark.fluentSelectOne#.json,0,622,12,-1,15,True,False,610.0,-610.0,False,True,,,True,False,607.0,-607.0
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.MinByDoubleTest.minByMarketValue_parallel_lazy_collect_methodref_jdk#.json_0,eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.MinByDoubleTest.minByMarketValue_parallel_lazy_collect_methodref_jdk#.json,0,103,0,0,453,True,False,103.0,-103.0,True,False,103.0,-103.0,True,False,350.0,350.0
ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenCrossMapPerf.flowable#times=1000.json_0,ReactiveX__RxJava#io.reactivex.rxjava3.core.FlattenCrossMapPerf.flowable#times=1000.json,0,405,0,214,15,True,False,405.0,-405.0,True,False,191.0,-191.0,True,False,390.0,-390.0
yellowstonegames__SquidLib#squidpony.performance.HashBenchmark.BenchmarkState.measureHastyPointHash2D#.json_0,yellowstonegames__SquidLib#squidpony.performance.HashBenchmark.BenchmarkState.measureHastyPointHash2D#.json,0,215,1,1,0,True,False,214.0,-214.0,True,False,214.0,-214.0,True,False,215.0,-215.0
zalando__logbook#org.zalando.logbook.LogbookBenchmark.plain#.json_0,zalando__logbook#org.zalando.logbook.LogbookBenchmark.plain#.json,0,347,181,182,15,True,False,166.0,-166.0,True,False,165.0,-165.0,True,False,332.0,-332.0
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=10.json_0,r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbc#resultSize=10.json,0,7,9,325,15,True,False,2.0,2.0,True,False,318.0,318.0,True,False,8.0,8.0
r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=10.json_0,r2dbc__r2dbc-h2#io.r2dbc.h2.StagedResultSizeBenchmarks.simpleJdbc#resultSize=10.json,0,1562,139,139,15,True,False,1423.0,-1423.0,True,False,1423.0,-1423.0,True,False,1547.0,-1547.0
crate__crate#io.crate.execution.engine.reader.JsonReaderBenchmark.measureFileReadingIteratorForJson#.json_0,crate__crate#io.crate.execution.engine.reader.JsonReaderBenchmark.measureFileReadingIteratorForJson#.json,0,7,1,128,15,True,False,6.0,-6.0,True,False,121.0,121.0,True,False,8.0,8.0
ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableSwitchMapSinglePerf.flowableConvert#count=10.json_0,ReactiveX__RxJava#io.reactivex.rxjava3.xmapz.FlowableSwitchMapSinglePerf.flowableConvert#count=10.json,0,323,76,0,15,True,False,247.0,-247.0,True,False,323.0,-323.0,True,False,308.0,-308.0
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseAndAnalyzeSimpleSelect#.json_0,crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseAndAnalyzeSimpleSelect#.json,0,198,42,2381,15,True,False,156.0,-156.0,True,False,2183.0,2183.0,True,False,183.0,-183.0
apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=NO_CACHING&bytes=RANDOM&compressionType=NONE&maxBatchSize=2&messageSize=1000&messageVersion=1.json_0,apache__kafka#org.apache.kafka.jmh.record.RecordBatchIterationBenchmark.measureIteratorForBatchWithSingleMessage#bufferSupplierStr=NO_CACHING&bytes=RANDOM&compressionType=NONE&maxBatchSize=2&messageSize=1000&messageVersion=1.json,0,355,345,1372,51,True,False,10.0,-10.0,True,False,1017.0,1017.0,True,False,304.0,-304.0
h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=Array&array_values_length=100&keyType=String&n_entries=10&valueType=Boolean.json_0,h2oai__h2o-3#water.util.IcedHashMapBench.writeMap#arrayType=Array&array_values_length=100&keyType=String&n_entries=10&valueType=Boolean.json,0,5,3,555,15,True,False,2.0,-2.0,True,False,550.0,550.0,True,False,10.0,10.0
JCTools__JCTools#org.jctools.jmh.collections.SetOps.contains#keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet.json_0,JCTools__JCTools#org.jctools.jmh.collections.SetOps.contains#keyBound=2048&occupancy=512&size=1024&type=java.util.HashSet.json,0,292,0,0,35,True,False,292.0,-292.0,True,False,292.0,-292.0,True,False,257.0,-257.0
apache__kafka#org.apache.kafka.jmh.record.CompressedRecordBatchValidationBenchmark.measureValidateMessagesAndAssignOffsetsCompressed#bufferSupplierStr=NO_CACHING&bytes=RANDOM&compressionType=ZSTD&maxBatchSize=10&messageSize=1000&messageVersion=2.json_0,apache__kafka#org.apache.kafka.jmh.record.CompressedRecordBatchValidationBenchmark.measureValidateMessagesAndAssignOffsetsCompressed#bufferSupplierStr=NO_CACHING&bytes=RANDOM&compressionType=ZSTD&maxBatchSize=10&messageSize=1000&messageVersion=2.json,0,30,23,23,15,True,False,7.0,-7.0,True,False,7.0,-7.0,True,False,15.0,-15.0
imglib__imglib2#net.imglib2.parallel.ParallelizationBenchmark.defaultBehavior#.json_0,imglib__imglib2#net.imglib2.parallel.ParallelizationBenchmark.defaultBehavior#.json,0,57,19,19,145,True,False,38.0,-38.0,True,False,38.0,-38.0,True,False,88.0,88.0
zalando__logbook#org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonRequest#.json_0,zalando__logbook#org.zalando.logbook.HttpLogFormatterBenchmark.fastJsonRequest#.json,0,208,30,155,29,True,False,178.0,-178.0,True,False,53.0,-53.0,True,False,179.0,-179.0
apache__logging-log4j2#org.apache.logging.log4j.layout.template.json.JsonTemplateLayoutBenchmark.liteCustomJsonLayout#.json_0,apache__logging-log4j2#org.apache.logging.log4j.layout.template.json.JsonTemplateLayoutBenchmark.liteCustomJsonLayout#.json,0,216,2,2,15,True,False,214.0,-214.0,True,False,214.0,-214.0,True,False,201.0,-201.0
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.simpleThrowable#loggingConfiguration=LOG4J2_THROWABLE_ASYNC.json_0,apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.simpleThrowable#loggingConfiguration=LOG4J2_THROWABLE_ASYNC.json,0,1271,1231,1231,0,True,False,40.0,-40.0,True,False,40.0,-40.0,True,False,1271.0,-1271.0
apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jClassicDebugStringConcatenation#.json_0,apache__logging-log4j2#org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jClassicDebugStringConcatenation#.json,0,208,93,93,43,True,False,115.0,-115.0,True,False,115.0,-115.0,True,False,165.0,-165.0
eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ChainMapPutTest.jdk#isPresized=false&loadFactor=0.70f&size=7250000.json_0,eclipse__eclipse-collections#org.eclipse.collections.impl.jmh.map.ChainMapPutTest.jdk#isPresized=false&loadFactor=0.70f&size=7250000.json,0,293,6,6,36,True,False,287.0,-287.0,True,False,287.0,-287.0,True,False,257.0,-257.0
raphw__byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline#.json_0,raphw__byte-buddy#net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline#.json,0,190,0,-1,183,True,False,190.0,-190.0,False,True,,,True,False,7.0,-7.0
hazelcast__hazelcast#com.hazelcast.internal.util.collection.OAHashSetBenchmark.contains_hz_OAHashSet#size=1000.json_0,hazelcast__hazelcast#com.hazelcast.internal.util.collection.OAHashSetBenchmark.contains_hz_OAHashSet#size=1000.json,0,426,1407,1790,1358,True,False,981.0,981.0,True,False,1364.0,1364.0,True,False,932.0,932.0
prometheus__client_java#io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildSetBenchmark#.json_0,prometheus__client_java#io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildSetBenchmark#.json,0,1218,0,0,0,True,False,1218.0,-1218.0,True,False,1218.0,-1218.0,True,False,1218.0,-1218.0
cantaloupe-project__cantaloupe#edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.readInfoWithFLV#.json_0,cantaloupe-project__cantaloupe#edu.illinois.library.cantaloupe.perf.processor.FfmpegProcessorPerformance.readInfoWithFLV#.json,0,710,0,0,15,True,False,710.0,-710.0,True,False,710.0,-710.0,True,False,695.0,-695.0
yellowstonegames__SquidLib#squidpony.performance.RNGBenchmark.measureXoRoR#.json_0,yellowstonegames__SquidLib#squidpony.performance.RNGBenchmark.measureXoRoR#.json,0,521,0,1,0,True,False,521.0,-521.0,True,False,520.0,-520.0,True,False,521.0,-521.0
apache__camel#org.apache.camel.itest.jmh.NormalizeUriTest.benchmarkSlow#.json_0,apache__camel#org.apache.camel.itest.jmh.NormalizeUriTest.benchmarkSlow#.json,0,7,5,360,15,True,False,2.0,-2.0,True,False,353.0,353.0,True,False,8.0,8.0
RoaringBitmap__RoaringBitmap#org.roaringbitmap.iteration.BatchIteratorBenchmark.batchIterateAsIntIterator#bufferSize=128&dirtiness=0.1&keys=512&runniness=0.5.json_0,RoaringBitmap__RoaringBitmap#org.roaringbitmap.iteration.BatchIteratorBenchmark.batchIterateAsIntIterator#bufferSize=128&dirtiness=0.1&keys=512&runniness=0.5.json,0,11,0,0,0,True,False,11.0,-11.0,True,False,11.0,-11.0,True,False,11.0,-11.0
hazelcast__hazelcast#com.hazelcast.internal.util.collection.OAHashSetBenchmark.contains_hz_OAHashSet_withHash#size=10000.json_0,hazelcast__hazelcast#com.hazelcast.internal.util.collection.OAHashSetBenchmark.contains_hz_OAHashSet_withHash#size=10000.json,0,420,279,409,410,True,False,141.0,-141.0,True,False,11.0,-11.0,True,False,10.0,-10.0
apache__arrow#org.apache.arrow.memory.util.ArrowBufPointerBenchmarks.compareBenchmark#.json_0,apache__arrow#org.apache.arrow.memory.util.ArrowBufPointerBenchmarks.compareBenchmark#.json,0,202,0,0,15,True,False,202.0,-202.0,True,False,202.0,-202.0,True,False,187.0,-187.0
crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseAnalyzeAndPlanInsertFromValues#.json_0,crate__crate#io.crate.analyze.PreExecutionBenchmark.measureParseAnalyzeAndPlanInsertFromValues#.json,0,165,12,12,146,True,False,153.0,-153.0,True,False,153.0,-153.0,True,False,19.0,-19.0
imglib__imglib2#net.imglib2.loops.LoopPerformanceBenchmark.gradient_LoopBuilder_MultiThreaded#.json_0,imglib__imglib2#net.imglib2.loops.LoopPerformanceBenchmark.gradient_LoopBuilder_MultiThreaded#.json,0,141,14,14,15,True,False,127.0,-127.0,True,False,127.0,-127.0,True,False,126.0,-126.0
